amenity	cuisine	takeaway	name	brand
fast_food	açaí		AçaíBloom	
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açai	Oakberry Açaí bowls
fast_food	american;arab;italian		BELLINI PIZZAS	
fast_food	american;asian;spanish		World Giraffe Kitchen	
fast_food	american;barbecue;breakfast;burger;coffee_shop;diner		Dinner 24h	
fast_food	american;burger		Acero	
fast_food	american;burger;chicken;friture		Popeyes Famous Louisiana Chicken	
fast_food	american;burger;hot_dog;sandwich		Burguer Mikky	
fast_food	american;burger		O Chiringo	
fast_food	american		Frankfurt Gretel	
fast_food	american		Friday's	
fast_food	american		Gofres Manneken Pis	
fast_food	american		Krasty Burguer	
fast_food	american		La Caleta Burger	
fast_food	american		Peggy Sue's	
fast_food	american		Pink’s	
fast_food	american;regional;sandwich		Mississippi Burger & Bar	
fast_food	american		Sloppy Joes	
fast_food	american		Summers	
fast_food	american		The box	
fast_food	american		THE PIT Ribs & Wings	
fast_food	american		The Velery Bar	
fast_food	andalusian;spanish	yes	Comedor Aynadamar	
fast_food	arab;cake;deli;lebanese;pancake;turkish		Las delicias de Suher	
fast_food	arab;chicken;curry;diner;spanish		Papas Elvira	
fast_food	arab		Falafelería	
fast_food	arab;kebab		AL Maghribia	
fast_food	arab;kebab;moroccan;turkish		Fast Food La Pita	
fast_food	arab		Pitta Hut Kebab	
fast_food	arab		Summaq	
fast_food	arab		Yamii	
fast_food	arepa		Arepa Olé	
fast_food	arepa		Arepa Olé	
fast_food	arepa		Arepera del Born	
fast_food	argentinian		Alma Criolla Empanada Bar	
fast_food	argentinian		Bona miga	
fast_food	argentinian		CACHITO MÍO GOURMET	
fast_food	argentinian;empanada		Malvón	Malvón
fast_food	argentinian;empanada		Sabores Express	
fast_food	argentinian		Empanadas Tio Bigotes	
fast_food	argentinian		Empanadas Tita de Buenos Aires Reina Victoria	Empanadas Tita de Buenos Aires
fast_food	argentinian;empanada		Tio Bigotes	
