amenity	cuisine	takeaway	name	brand
fast_food	açaí		Pulpy	
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	açaí	yes	Oakberry Açaí bowls	Oakberry Açaí bowls
fast_food	afghan		Kabul restaurant	
fast_food	afghan		Krousty Kabouli	
fast_food	afghan	yes	Olive	
fast_food	african		Africa in a Box	
fast_food	african		Africa Kafumawu	
fast_food	african		Afri Call Food	
fast_food	african		Afri Call Food Lens	
fast_food	african		African Evasion	
fast_food	african		African Street Food	
fast_food	african		Afrik'n'Fusion	
fast_food	african		Afrik'n'Fusion	
fast_food	african		À l'Africaine	
fast_food	african;arab;chicken;friture;sausage		Saveur du Mandé	
fast_food	african		Bakel	
fast_food	african;chicken;french;friture;international;kebab;local		Monkey food	
fast_food	african		Consulat African Food	
fast_food	african		Darsheenn	
fast_food	african		Délice Africa	
fast_food	african		Food Bus Savane & Mousson	
fast_food	african;ivoirienne;ivorian		Mauya	
fast_food	african		Kainf	
fast_food	african		KEF Restaurant Fast Food Africain	
fast_food	african		Kinterra	
fast_food	african		Kuti	
fast_food	african		L'Africaine	
fast_food	african		Le Bafing	
fast_food	african		Le Naama	
fast_food	african		Les Saveurs d'Alberto	
fast_food	african		Massama délices	
fast_food	african		Mix Afro	
fast_food	african		Mumbay Grill	
fast_food	african		New Soul Food le Maquis	
fast_food	african	only	Sando Taku	
fast_food	african		Osè	
fast_food	african		Osè African Cuisine	
fast_food	african;poke;sandwich	yes	Djaam	Djaam
fast_food	african		Sankou Afro	
fast_food	african		Saveur Ivoirienne	
fast_food	african		Weechef Paris	
fast_food	african		Westaf Food	
fast_food	african	yes	Afri Call Food	Afri Call Food
fast_food	african	yes	Lakay Madiba	
fast_food	african	yes	Le Break	
fast_food	african	yes	Le Diabatéba	
fast_food	african	yes	Le Safariz	
fast_food	african	yes	Miami Food	
fast_food	african	yes	O’Maquis Family	
fast_food	african	yes	Osè ! Afro Streetfood	
fast_food	african	yes	Saly Teranga	
fast_food	african	yes	SheepCheap	
fast_food	african	yes	Smart Gorilla	
fast_food	african	yes	Soso	
fast_food	african	yes	Tombouctou	
fast_food	alsatian		Pop Croq	
fast_food	alsatian	yes	Hopla	
fast_food	american		Alpha Snack	
fast_food	american;arab;barbecue;indonesian	yes	L'Escale	
fast_food	american;asian;chicken		Cali Crousty	
fast_food	american;bagel;burger;tex-mex	yes	Foodies	
fast_food	american		Bagel House	
fast_food	american		Best Of	
fast_food	american		Burger 24	
fast_food	american;burger;chicken		Baba Zulu	
fast_food	american;burger;chicken;friture	yes	KFC	KFC
fast_food	american		Burger Eat	
fast_food	american;burger;french;friture;local		Banco	
fast_food	american;burger;ice_cream		McDonald's Originals	
fast_food	american;burger;tacos		El Caliente	
fast_food	american;burger;tacos	yes	Booxy	
fast_food	american;burger		Well Done Villeurbanne	
fast_food	american;burger	yes	McDonald's Fagnières	McDonald's
fast_food	american		Chez Nounours	
fast_food	american		Corn bread	
fast_food	american		Fast & Furious	
fast_food	american		Food’in Side	
fast_food	american;french;pizza;sandwich	only	La part du goût	
fast_food	american;french	yes	Les Burgers de Papa	Les Burgers de Papa
fast_food	american		Homer Lobster	
fast_food	american;ice_cream;sandwich		au ch'ti panini	
fast_food	american;kebab;panini		L'en K	
fast_food	american		Krousty Food	Krousty Food
fast_food	american		La Ruche	
fast_food	american		Le Croustil	
fast_food	american		Le Snack	
fast_food	american		Mangez Moi – Fred’s	
fast_food	american	only	Berry Truck	
fast_food	american;pizza		Au 19-20	
fast_food	american;pizza		Buns	
fast_food	american;pizza;burger		Pizz Burger	
fast_food	american		Poutine House	
fast_food	american		Round	
fast_food	american		Roxy Coffee Shop	
fast_food	american;sandwich		As Chicken	
fast_food	american;sandwich	yes	Best Bagels	
fast_food	american	yes	21 Burger S	
fast_food	american	yes	B52	
fast_food	american	yes	Food Truck La Cantine du Rocher	
fast_food	american	yes	J'aime chaud	
